,"AD",,".ANDORRA",,,,,,,,
,"AD","ALV","Andorra la Vella","Andorra la Vella",,"--34-6--","AI","0601",,"4230N 00131E",""
,"AD","CAN","Canillo","Canillo",,"--3-----","RL","0307",,"4234N 00135E",
,"AD","ENC","Encamp","Encamp",,"--3-----","RL","0307",,"4232N 00134E",
,"AD","ESC","Escaldes-Engordany","Escaldes-Engordany",,"--3-----","RL","0307",,"4231N 00133E",
,"AD","EAC","Escàs","Escas","04","--3-----","RL","1407",,"4233N 00131E",
,"AD","FMO","La Farga de Moles","La Farga de Moles",,"--3----B","RQ","0307",,,
,"AD","LMA","La Massana","La Massana",,"--3-----","RL","0307",,"4234N 00129E",
,"AD","ORD","Ordino","Ordino",,"--3-----","RL","0307",,"4233N 00131E",
,"AD","PAS","Pas de la Casa","Pas de la Casa",,"--3----B","RL","0307",,"4233N 00144E",
,"AD","SJL","Sant Julià de Lòria","Sant Julia de Loria",,"--3-----","RL","1101",,"4228N 00130E",""
,"AD","SCO","Santa Coloma","Santa Coloma",,"--3-----","RL","0307",,"4230N 00130E",
,"AE",,".UNITED ARAB EMIRATES",,,,,,,,
,"AE","ABU","Abu al Bukhoosh","Abu al Bukhoosh",,"1-------","RL","0307",,"2529N 05308E",
,"AE","AUH","Abu Dhabi","Abu Dhabi","AZ","1-345---","AI","1101",,"2428N 05422E",""
,"AE","AMU","Abu Musa","Abu Musa",,"1-------","RL","0201",,"2552N 05501E",
,"AE","ARP","Ahmed Bin Rashid Port","Ahmed Bin Rashid Port","AZ","1-------","RL","1407",,"2532N 05533E",
,"AE","AJM","Ajman","Ajman",,"1-3-----","RL","0103","QAJ",,
